facetID,X,Y,Z,x1,y1,z1,x2,y2,z2,x3,y3,z3
16686,0.339433,-0.869029,0.359964,29.8582,16.4145,-9.4769,31.5437,17.2131,-9.13824,29.8582,16.9491,-8.18613
16687,0.339433,-0.869029,0.359964,31.5437,17.4804,-8.49285,29.8582,16.9491,-8.18613,31.5437,17.2131,-9.13824
16688,0.339432,-0.869029,0.359964,33.2291,18.0117,-8.79958,34.9146,18.8103,-8.46092,33.2291,18.5463,-7.5088
16689,0.339432,-0.86903,0.359963,34.9146,19.0776,-7.81553,33.2291,18.5463,-7.5088,34.9146,18.8103,-8.46092
16690,0.339432,-0.869029,0.359963,29.8582,16.9491,-8.18613,31.5437,17.7477,-7.84746,29.8582,17.4838,-6.89535
16691,0.339432,-0.869029,0.359964,31.5437,18.0151,-7.20208,29.8582,17.4838,-6.89535,31.5437,17.7477,-7.84746
16692,0.339433,-0.932583,0.122776,24.8019,16.8323,-2.13526,26.4873,17.4458,-2.13526,24.8019,16.9026,-1.60144
16693,0.339433,-0.932583,0.122776,26.4873,17.5863,-1.06763,24.8019,16.9026,-1.60144,26.4873,17.4458,-2.13526
16694,0.339433,-0.932583,0.122775,28.1728,18.0592,-2.13526,29.8582,18.6727,-2.13526,28.1728,18.1295,-1.60144
16695,0.339433,-0.932583,0.122775,29.8582,18.8133,-1.06763,28.1728,18.1295,-1.60144,29.8582,18.6727,-2.13526
16696,0.339433,-0.932583,0.122775,28.1728,18.1998,-1.06763,29.8582,18.8133,-1.06763,28.1728,18.2701,-0.533814
16697,0.339433,-0.932583,0.122776,29.8582,18.9538,0,28.1728,18.2701,-0.533814,29.8582,18.8133,-1.06763
16698,0.339433,-0.932583,0.122776,29.8582,18.308,-4.90561,31.5437,18.9917,-4.37179,29.8582,18.4903,-3.52043
16699,0.339433,-0.932583,0.122776,31.5437,19.0829,-3.6792,29.8582,18.4903,-3.52043,31.5437,18.9917,-4.37179
16700,0.339432,-0.932583,0.122778,33.2291,19.6754,-3.83798,34.9146,20.3592,-3.30416,33.2291,19.8578,-2.4528
16701,0.339432,-0.932583,0.122776,34.9146,20.4503,-2.61158,33.2291,19.8578,-2.4528,34.9146,20.3592,-3.30416
16702,0.339433,-0.932583,0.122775,29.8582,18.4903,-3.52043,31.5437,19.1741,-2.98662,29.8582,18.6727,-2.13526
16703,0.339432,-0.932583,0.122777,31.5437,19.2652,-2.29403,29.8582,18.6727,-2.13526,31.5437,19.1741,-2.98662
16704,0.339432,-0.932583,-0.122775,24.8019,16.8114,2.29403,26.4873,17.404,2.4528,24.8019,16.7412,2.82784
16705,0.339432,-0.932583,-0.122776,26.4873,17.2634,3.52043,24.8019,16.7412,2.82784,26.4873,17.404,2.4528
16706,0.339432,-0.932583,-0.122777,28.1728,17.9965,2.61158,29.8582,18.5891,2.77035,28.1728,17.9263,3.14539
16707,0.339432,-0.932583,-0.122777,29.8582,18.4485,3.83798,28.1728,17.9263,3.14539,29.8582,18.5891,2.77035
16708,0.339432,-0.932583,-0.122777,28.1728,17.856,3.6792,29.8582,18.4485,3.83798,28.1728,17.7857,4.21302
16709,0.339432,-0.932583,-0.122777,29.8582,18.308,4.90561,28.1728,17.7857,4.21302,29.8582,18.4485,3.83798
16710,0.339433,-0.932583,-0.122777,29.8582,18.9538,0,31.5437,19.4761,0.692587,29.8582,18.7714,1.38517
16711,0.339433,-0.932583,-0.122777,31.5437,19.3849,1.38517,29.8582,18.7714,1.38517,31.5437,19.4761,0.692587
16712,0.339433,-0.932583,-0.122776,33.2291,19.9984,1.38517,34.9146,20.5206,2.07776,33.2291,19.816,2.77035
16713,0.339432,-0.932584,-0.122775,34.9146,20.4294,2.77035,33.2291,19.816,2.77035,34.9146,20.5206,2.07776
16714,0.339433,-0.932583,-0.122777,29.8582,18.7714,1.38517,31.5437,19.2937,2.07776,29.8582,18.5891,2.77035
16715,0.339433,-0.932583,-0.122777,31.5437,19.2025,2.77035,29.8582,18.5891,2.77035,31.5437,19.2937,2.07776
16716,0.339433,-0.869029,-0.359964,24.8019,15.6449,6.56698,26.4873,16.1761,6.87371,24.8019,15.4388,7.06442
16717,0.339432,-0.869029,-0.359964,26.4873,15.764,7.86858,24.8019,15.4388,7.06442,26.4873,16.1761,6.87371
16718,0.339433,-0.869029,-0.359964,28.1728,16.7074,7.18044,29.8582,17.2387,7.48716,28.1728,16.5013,7.67787
16719,0.339433,-0.869029,-0.359965,29.8582,16.8266,8.48203,28.1728,16.5013,7.67787,29.8582,17.2387,7.48716
16720,0.339432,-0.869029,-0.359964,28.1728,16.2953,8.17531,29.8582,16.8266,8.48203,28.1728,16.0893,8.67274
